Features;1369006.txt;9941095.txt;1512007.txt;3619264.txt;4343028.txt;1370032.txt;1511781.txt;4799002.txt;1511772.txt;5715819.txt
making phone calls;YES;NO;YES;NO;NO;YES;YES;NO;YES;YES
carrier activation fees;YES;YES;NO;YES;YES;NO;NO;NO;NO;NO
4g lte speed;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES
16 million colors;YES;NO;YES;NO;NO;YES;YES;NO;YES;YES
motorola moto x;YES;NO;YES;NO;NO;YES;YES;NO;YES;NO
faster load times;YES;NO;YES;NO;NO;YES;YES;NO;YES;NO
service agreement times;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO
corning gorilla glass;YES;NO;YES;NO;NO;YES;YES;NO;YES;YES
10 premium data;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO
1280 x 720 resolution;YES;NO;YES;NO;NO;YES;YES;NO;YES;YES
full hd 1080p recording;YES;NO;YES;NO;NO;YES;YES;NO;YES;YES
day-to-day activities;YES;NO;YES;NO;NO;YES;YES;NO;YES;YES
running home screens;YES;NO;YES;NO;NO;YES;YES;NO;YES;NO
2 free years of google drive storage 50gb;YES;NO;YES;NO;NO;YES;YES;NO;YES;NO
early termination fee;YES;YES;YES;YES;YES;NO;NO;YES;NO;NO
typical user profile;NO;YES;NO;YES;YES;NO;NO;YES;NO;NO
qualcomm snapdragon processor;NO;YES;NO;YES;YES;NO;NO;YES;NO;NO
bluetooth-enabled device;NO;YES;NO;YES;NO;NO;NO;YES;NO;NO
mp front-facing camera;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO
ballistic nylon design;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
motorola droid turbo vzw-motxt1254bn cell phone;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
5.2 super amoled touch screen;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
mp rear-facing camera;NO;YES;NO;YES;YES;NO;NO;NO;NO;YES
record in full high-definition;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
9 aspect ratio;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
dual front-facing speakers;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
battery life;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
spp bluetooth profiles;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
dual-band wi-fi 802.11;NO;NO;NO;YES;YES;NO;NO;NO;NO;NO
3200 mah lithium-ion battery;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
immersive stereo sound;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
range of a wi-fi signal;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
optical image stabilization;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
motorola nexus 6 motxt1103 cell phone;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO
lifelike display of this motorola droid turbo motxt1254vb 4g lte cell phone;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
mobile hotspot capability;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
record 4k ultra hd;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
3900 mah battery;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
8 wi-fi;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
compatible bluetooth-enabled devices;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
1080p video footage;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
crisp 4k ultra hd videos;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO
16gb total memory capacity;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
000-entry phone book;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
customizable polyphonic ringtones;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
hands-free dialing;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
touch of a button;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
front-facing 1.3;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
1gb of lp ddr2 ram;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
750 minutes talk time;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
easy connection speeds;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
hands-free speakerphone;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
motorola application platform;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
motorola droid razr cell phone;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
recording video clips in 720p high-definition;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
easy viewing of videos;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
super amoled advanced high-definition touch-screen display;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
microsd card slot offers;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
incoming phone calls;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
minimum data service;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES
operating system;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
motorola atrix hd 4g cell phone;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
view live traffic;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
early termination fees;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
photos in an eye-opening format;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
fast load times;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
motorola atrix hd;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
full month of service commitment;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
clear viewing of photos;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
exceptionally fast speed;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
water-repellent nanocoating;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
touch screen;4.7 amoled hd;5.2 super amoled;4.7 amoled hd;quad hd amoled;quad hd super amoled;4.7 amoled hd;4.7 amoled hd;;4.7 amoled hd;4.5 colorboost hd
resolution;1280 x 720;2560 x 1440;1280 x 720;2560 x 1440 pixel;2560 x 1440;1280 x 720;1280 x 720;960 x 540;1280 x 720;1280 x 720
bluetooth;;4.0;;4.1;4.0;;;;;
ghz processor;dual-core 1.7;;dual-core 1.7;;;dual-core 1.7;dual-core 1.7;;dual-core 1.7;dual-core 1.5
dual core;1.7;;1.7;;;1.7;1.7;;1.7;1.5
hour;;48;;24;48;;;205;;
day of standby time;;24;;10;24;;;;;
day;30;24;30;10;24;30;30;;30;
operating;4.2.2 jelly bean;4.4 kitkat;4.2.2 jelly bean;5.1 lollipop;4.4 kitkat;4.2.2 jelly bean;4.2.2 jelly bean;;4.2.2 jelly bean;4.1 jelly bean
ghz qualcomm snapdragon;;805;;805;805;;;;;
android;4.2.2;4.4;4.2.2;5.1;4.4;4.2.2;4.2.2;4.0;4.2.2;4.1
internal memory;16gb;32gb;16gb;32gb;32gb;16gb;16gb;16gb;16gb;8gb
mp camera;2.0;;2.0;;;2.0;2.0;8.0;2.0;1.3
device;;;;;5;;;8;;
camera;10mp rear-facing;21.0 mp rear-facing;10mp rear-facing;2.1 mp front-facing;21.0 mp rear-facing;10mp rear-facing;10mp rear-facing;mp;10mp rear-facing;8.0 mp rear-facing
performance;phone;reliable;phone;reliable;reliable;phone;phone;reliable;phone;phone
video;;;;4k ultra hd;;;;;;
zoom;4x digital;;4x digital;;;4x digital;4x digital;;4x digital;8x digital
operate;;NA;;NA;NA;;;;;
gorilla glass;;;;corning;corning;;;;;featuring
storage;space;space;space;space;;space;space;;space;space
high definition;;;;full;;;;720p;;
time;;talk;;usage;talk;;;;;
web;connection;connection;connection;connection;connection;connection;connection;;connection;connection
flash;led;;led;dual-led ring;dual led;led;led;;led;
microsd;;;;;;;;;;card
message;;;;;;;;NA;;
qualcomm snapdragon;;;;;;;;ghz dual-core;;s4 processor
google;now;;now;;;now;now;;now;now
media;social;social;social;social;social;social;social;storing;social;social
voice;command;plan;command;plan;plan;command;command;plan;command;command
front facing;camera;;camera;;;camera;camera;webcam;camera;camera
content;;;;other web;other;;;;;
lithium ion;;included;;mah;;;;included;;
activation;phone;phone;phone;phone;phone;;phone;voice;;phone
web connection;fast;quick;fast;fast;enables;fast;fast;;fast;fast
memory;16gb;;16gb;;;16gb;16gb;;16gb;8gb
design;curved;;curved;durable;;curved;curved;;curved;
