"";"clusters";"items"
"1";"list(""multiple-page document"", ""legal-size document"")";"list(""{document}"")"
"2";"list(""5-line backlit lcd"", ""5-row backlit lcd"")";"list(""{lcd}"")"
"3";"list(""print function"", ""lite function"")";"list(""{function.}"")"
"4";"list(""50-sheet adf automatic document feeder"", ""50-sheet automatic document feeder"", ""50-page auto document feeder"")";"list(""{document,feeder}"")"
"5";"list(""print function"", ""print resolution"")";"list(""{print}"")"
"6";"list(""office need"", ""office network"")";"list(""{office}"")"
"7";"list(""a4 size"", ""b5 size"")";"list(""{size}"")"
"8";"list(""canon imageclass d1350 4839b003 black-and-white all-in-one printer"", ""canon imageclass mf4890dw 6371b006 black-and-white printer"", ""4-in-1 canon imageclass d1370 4839b006 black-and-white all-in-one printer"")";"list(""{canon,printer}"")"
"9";"list(""simple connection"", ""wireless connection"")";"list(""{connection}"")"
"10";"list(""dpi superfine fax resolution"", ""dpi ultrafine fax resolution"")";"list(""{fax,resolution,fax.resolution}"")"
"11";"list(""50-sheet adf automatic document feeder"", ""30-sheet simplex adf automatic document feeder"", ""50-sheet dadf duplex automatic document feeder"", ""50-sheet automatic document feeder"")";"list(""{document,feeder,document.feeder}"")"
"12";"list(""print need"", ""print speed"")";"list(""{}"")"
"13";"list(""canon imageclass d1350 4839b003 black-and-white all-in-one printer"", ""4-in-1 canon imageclass d1370 4839b006 black-and-white all-in-one printer"", ""canon faxphone l100 5258b001 black-and-white all-in-one printer"")";"list(""{canon,printer}"")"
"14";"list(""legal-size document"", ""executive document"")";"list(""{document}"")"
"15";"list(""b5 envelope"", ""c5 envelope"")";"list(""{envelope}"")"
"16";"list(""24-bit flatbed scanner"", ""24-bit scanner"")";"list(""{scanner}"")"
"17";"list(""iso ppm duplex"", ""cpm duplex"")";"list(""{duplex}"")"
"18";"list(""heavy paper"", ""plain paper"")";"list(""{paper}"")"
"19";"list(""2-sided print"", ""2-sided document"")";"list(""{}"")"
"20";"list(""2-sided print"", ""2-sided copying"", ""2-sided printing"")";"list(""{}"")"
"21";"list(""250-sheet front-loading cassette"", ""250-sheet front-loading paper cassette"")";"list(""{front.loading,cassette}"")"
"22";"list(""large document"", ""legal document"", ""legal-size document"", ""small document"")";"list(""{document}"")"
"23";"list(""large document"", ""scanned document"", ""print document"", ""scan document"", ""small document"", ""fax document"")";"list(""{document}"")"
"24";"list(""large document"", ""legal document"", ""print document"", ""scan document"", ""small document"", ""fax document"")";"list(""{document}"")"
"25";"list(""ethernet network"", ""ethernet interface"")";"list(""{ethernet}"")"
"26";"list(""canon imageclass d550 4509b061 laser printer"", ""canon imageclass mf9220cdn 4495b001 color laser printer"")";"list(""{canon,laser,printer}"")"
"27";"list(""print resolution"", ""dpus resolution"", ""fax resolution"")";"list(""{resolution}"")"
"28";"list(""control panel"", ""color panel"")";"list(""{panel}"")"
"29";"list(""unattended printing"", ""2-sided printing"")";"list(""{printing}"")"
"30";"list(""24-bit color scanner"", ""24-bit flatbed scanner"", ""24-bit scanner"")";"list(""{scanner}"")"
"31";"list(""high-speed super g3 fax"", ""high-speed fax"")";"list(""{fax}"")"
"32";"list(""high-speed usb"", ""high-speed fax"")";"list(""{}"")"
"33";"list(""3-in-1 functionality"", ""4-in-1 functionality"")";"list(""{functionality}"")"
"34";"list(""crisp image"", ""clear image"")";"list(""{image}"")"
"35";"list(""1-sided document"", ""large document"", ""legal-size document"", ""2-sided document"", ""small document"")";"list(""{document}"")"
"36";"list(""1-sided document"", ""large document"", ""scanned document"", ""print document"", ""2-sided document"", ""scan document"", ""small document"")";"list(""{document}"")"
"37";"list(""group-dialing option"", ""loading option"", ""copying option"")";"list(""{option}"")"
"38";"list(""front-loading cassette"", ""front-loading paper cassette"")";"list(""{front.loading,cassette}"")"
"39";"list(""canon imageclass mf7470 2237b007"", ""canon imageclass mf4890dw 6371b006"", ""canon imageclass d1370 4839b006"", ""canon imageclass d1350 4839b003"")";"list(""{canon,imageclass,canon.imageclass}"")"
"40";"list(""adf automatic document feeder"", ""50-page auto document feeder"")";"list(""{document,feeder}"")"
"41";"list(""24-bit color scanner"", ""24-bit scanner"")";"list(""{scanner}"")"
"42";"list(""color scanner"", ""color panel"")";"list(""{color}"")"
"43";"list(""000-page memory"", ""pc faxing"")";"list(""{}"")"
"44";"list(""256-page fax memory"", ""000-page fax memory"", ""000-page memory"", ""512-page fax memory"")";"list(""{}"")"
"45";"list(""compatible device"", ""compatible usb storage device"")";"list(""{device}"")"
"46";"list(""24-bit color scanner"", ""24-bit color depth"")";"list(""{color}"")"
"47";"list(""250-sheet cassette"", ""500-sheet cassette"", ""150-sheet cassette"")";"list(""{cassette}"")"
"48";"list(""100base-t ethernet network"", ""100base-t ethernet interface"")";"list(""{ethernet}"")"
"49";"list(""group-dialing option"", ""group dialing destination"")";"list(""{}"")"
"50";"list(""detailed image"", ""detailed fax"")";"list(""{}"")"
"51";"list(""direct printing"", ""pc-free printing"", ""2-sided printing"")";"list(""{printing}"")"
"52";"list(""80-sheet multipurpose tray"", ""50-sheet multipurpose tray"", ""100-sheet multipurpose tray"", ""1-sheet multipurpose tray"")";"list(""{multipurpose,tray,multipurpose.tray}"")"
"53";"list(""80-sheet multipurpose tray"", ""50-sheet multipurpose tray"", ""100-sheet multipurpose tray"", ""1-sheet multipurpose tray"", ""single-sheet multipurpose tray"")";"list(""{multipurpose,tray,multipurpose.tray}"")"
"54";"list(""scanning volume"", ""scanning process"")";"list(""{}"")"
"55";"list(""coded dial"", ""speed dial"")";"list(""{dial}"")"
